id,value,milliseconds,created,nquestions,expert_id,object_id
360,Mammal,3001,2017-03-21 09:53:45.889155+00,1,5,366
361,Mammal,3292,2017-03-21 09:55:48.931314+00,1,5,208
362,Mammal,5088,2017-03-21 09:57:22.937967+00,1,5,37
363,Amphibian,5386,2017-03-21 09:58:02.264194+00,1,5,50
364,Mammal,2726,2017-03-21 09:58:38.918265+00,1,5,88
365,Mammal,2637,2017-03-21 09:59:42.079913+00,1,5,289
366,Mammal,2285,2017-03-21 10:00:09.52463+00,1,5,565
367,Mammal,2517,2017-03-21 10:00:45.622158+00,1,5,68
368,Mammal,3005,2017-03-21 10:00:52.986221+00,1,5,147
369,Mammal,2175,2017-03-21 10:01:06.644596+00,1,5,161
370,Bird,2551,2017-03-21 10:01:52.786621+00,1,5,2
371,Reptil,2754,2017-03-21 10:02:56.712871+00,1,5,344
372,Mammal,4328,2017-03-21 10:03:33.896499+00,1,5,83
373,Mammal,3903,2017-03-21 10:04:53.65297+00,1,5,368
374,Mammal,2647,2017-03-21 10:05:51.467908+00,1,5,178
375,Mammal,5274,2017-03-21 10:06:52.069044+00,1,5,520
376,Mammal,3824,2017-03-21 10:07:04.138661+00,1,5,139
377,Mammal,4846,2017-03-21 10:10:24.863175+00,1,5,343
378,Mammal,2712,2017-03-21 10:11:33.110903+00,1,5,360
379,Mammal,3127,2017-03-21 10:12:51.812937+00,1,5,124
380,Mammal,2461,2017-03-21 10:13:23.865602+00,1,5,522
381,Reptil,3960,2017-03-21 10:13:37.270983+00,1,5,545
382,Mammal,2429,2017-03-21 10:14:06.739286+00,1,5,101
383,Mammal,2223,2017-03-21 10:14:39.015962+00,1,5,440
384,Mammal,2389,2017-03-21 10:14:46.94386+00,1,5,164
385,Bird,2710,2017-03-21 10:16:19.927265+00,1,5,299
386,Mammal,9658,2017-03-21 10:19:48.749752+00,1,5,494
387,Mammal,6379,2017-03-21 10:19:57.912407+00,1,5,57
388,Mammal,2571,2017-03-21 10:20:08.471876+00,1,5,188
389,Mammal,2549,2017-03-21 10:21:00.019079+00,1,5,219
390,Amphibian,3019,2017-03-21 10:21:29.865783+00,1,5,115
391,Bird,2473,2017-03-21 10:21:34.676555+00,1,5,435
392,Mammal,1920,2017-03-21 10:21:51.934293+00,1,5,568
393,Bird,2112,2017-03-21 10:21:56.508717+00,1,5,191
394,Bird,3059,2017-03-21 10:22:08.879681+00,1,5,550
395,Reptil,2509,2017-03-21 10:22:35.206592+00,1,5,240
396,Bird,3279,2017-03-21 10:22:54.581219+00,1,5,527
397,Mammal,2193,2017-03-21 10:23:10.722445+00,1,5,572
398,Amphibian,2305,2017-03-21 10:23:53.156328+00,1,5,543
399,Mammal,2743,2017-03-21 10:24:02.600834+00,1,5,551
400,Bird,2570,2017-03-21 10:24:31.333107+00,1,5,209
401,Mammal,2753,2017-03-21 10:25:19.075121+00,1,5,531
402,Mammal,2193,2017-03-21 10:26:25.283289+00,1,5,94
403,Mammal,2439,2017-03-21 10:28:53.906173+00,1,5,244
404,Mammal,3480,2017-03-21 10:29:58.753735+00,1,5,263
405,Reptil,3659,2017-03-21 10:30:09.289246+00,1,5,459
406,Mammal,3856,2017-03-21 10:31:26.920045+00,1,5,506
407,Mammal,2701,2017-03-21 10:32:14.470874+00,1,5,457
408,Mammal,2595,2017-03-21 10:37:06.956042+00,1,5,123
409,Mammal,2945,2017-03-21 10:38:15.502534+00,1,5,451
410,Mammal,2788,2017-03-21 10:39:36.179753+00,1,5,453
411,Mammal,2561,2017-03-21 10:40:09.557897+00,1,5,454
412,Amphibian,2996,2017-03-21 10:40:21.556586+00,1,5,429
413,Mammal,2596,2017-03-21 10:42:29.065641+00,1,5,525
414,Amphibian,2974,2017-03-21 10:43:21.590302+00,1,5,425
415,Bird,2277,2017-03-21 10:43:40.872635+00,1,5,166
416,Bird,4139,2017-03-21 10:43:48.593725+00,1,5,404
417,Mammal,3562,2017-03-21 10:44:28.675905+00,1,5,555
418,Mammal,3142,2017-03-21 10:44:58.307467+00,1,5,523
419,Mammal,2968,2017-03-21 10:45:36.641263+00,1,5,388
420,Mammal,2755,2017-03-21 10:45:43.207629+00,1,5,373
421,Mammal,2404,2017-03-21 10:46:19.9428+00,1,5,385
422,Mammal,2789,2017-03-21 10:47:14.982013+00,1,5,476
423,Mammal,2462,2017-03-21 10:47:21.327025+00,1,5,483
424,Bird,1831,2017-03-21 10:47:28.7101+00,1,5,416
425,Bird,2108,2017-03-21 10:47:33.96052+00,1,5,443
426,Bird,3536,2017-03-21 10:47:40.526164+00,1,5,356
427,Mammal,4392,2017-03-21 10:47:49.873817+00,1,5,325
428,Reptil,4958,2017-03-21 10:47:57.992671+00,1,5,349
429,Mammal,2393,2017-03-21 10:48:03.984313+00,1,5,12
430,Mammal,2656,2017-03-21 10:48:10.250234+00,1,5,471
431,Bird,2164,2017-03-21 10:48:15.743822+00,1,5,277
432,Bird,2063,2017-03-21 10:48:20.658893+00,1,5,354
433,Mammal,3184,2017-03-21 10:48:27.963372+00,1,5,308
434,Mammal,2185,2017-03-21 10:48:33.369436+00,1,5,205
435,Mammal,2315,2017-03-21 10:48:39.153968+00,1,5,378
436,Bird,2019,2017-03-21 10:48:47.369997+00,1,5,324
437,Bird,1904,2017-03-21 10:48:54.758146+00,1,5,329
438,Reptil,3830,2017-03-21 10:49:02.302398+00,1,5,310
439,Bird,1736,2017-03-21 10:49:07.349159+00,1,5,352
440,Bird,1426,2017-03-21 10:49:12.030291+00,1,5,544
441,Bird,1566,2017-03-21 10:49:17.109311+00,1,5,409
442,Mammal,1578,2017-03-21 10:49:22.427052+00,1,5,301
443,Reptil,3012,2017-03-21 10:49:29.216045+00,1,5,305
444,Mammal,1565,2017-03-21 10:49:34.305857+00,1,5,275
445,Reptil,6017,2017-03-21 10:49:43.246333+00,1,5,470
446,Amphibian,2665,2017-03-21 10:49:50.047613+00,1,5,539
447,Bird,2072,2017-03-21 10:49:56.431078+00,1,5,262
448,Mammal,1600,2017-03-21 10:50:01.875525+00,1,5,342
449,Bird,1623,2017-03-21 10:50:09.36049+00,1,5,303
450,Mammal,2067,2017-03-21 10:50:15.658479+00,1,5,430
451,Mammal,1539,2017-03-21 10:50:20.250508+00,1,5,253
452,Mammal,2429,2017-03-21 10:50:27.311509+00,1,5,407
453,Bird,1657,2017-03-21 10:50:32.527543+00,1,5,288
454,Bird,2407,2017-03-21 10:50:38.240155+00,1,5,326
455,Mammal,1411,2017-03-21 10:50:44.311624+00,1,5,259
456,Mammal,1399,2017-03-21 10:50:49.669112+00,1,5,321
457,Bird,2442,2017-03-21 10:50:56.564179+00,1,5,269
458,Mammal,1487,2017-03-21 10:51:01.483061+00,1,5,327
459,Mammal,2060,2017-03-21 10:51:10.298411+00,1,5,278
460,Reptil,7728,2017-03-21 10:51:23.371275+00,1,5,254
461,Mammal,2310,2017-03-21 10:51:30.018443+00,1,5,402
462,Bird,1504,2017-03-21 10:51:35.862212+00,1,5,300
463,Mammal,2199,2017-03-21 10:51:42.225083+00,1,5,419
464,Mammal,3349,2017-03-21 19:15:25.516384+00,1,14,101
465,Mammal,12605,2017-03-21 19:16:19.14732+00,1,14,37
466,Mammal,2818,2017-03-21 19:16:45.124731+00,1,14,306
467,Bird,8799,2017-03-21 19:17:12.736045+00,1,14,262
468,Reptil,28235,2017-03-21 19:18:06.667629+00,1,14,305
469,Mammal,3325,2017-03-21 19:22:23.327106+00,1,14,531
470,Bird,6812,2017-03-21 19:26:35.010122+00,1,14,303
471,Mammal,4905,2017-03-21 19:29:00.680644+00,1,14,568
472,Reptil,5309,2017-03-21 19:39:32.678192+00,1,21,545
473,Bird,18526,2017-03-21 23:56:12.863489+00,1,22,2
474,Mammal,5080,2017-03-21 23:58:29.633016+00,1,22,325
475,Bird,38215,2017-03-22 00:00:28.583745+00,1,22,527
476,Bird,4329,2017-03-22 00:00:34.297331+00,1,22,191
477,Mammal,6550,2017-03-22 00:00:43.218817+00,1,22,494
478,Mammal,4180,2017-03-22 00:06:39.663986+00,1,14,124
479,Mammal,2689,2017-03-22 00:10:07.522961+00,1,14,483
480,Mammal,5187,2017-03-22 00:12:08.802336+00,1,14,565
481,Bird,5232,2017-03-22 01:03:40.141776+00,1,14,550
482,Amphibian,5054,2017-03-22 01:03:55.167656+00,1,14,539
483,Mammal,3184,2017-03-22 01:04:29.584839+00,1,14,572
484,Bird,10595,2017-03-22 01:05:20.755777+00,1,14,544
485,Mammal,2692,2017-03-22 01:05:35.718286+00,1,14,457
486,Mammal,3703,2017-03-22 01:07:17.448877+00,1,14,471
487,Mammal,10706,2017-03-22 01:13:36.542466+00,1,22,419
488,Bird,3731,2017-03-22 01:15:20.504602+00,1,22,356
489,Mammal,7720,2017-03-22 11:46:36.992623+00,1,14,476
490,Mammal,3005,2017-03-22 11:47:25.019485+00,1,14,525
491,Amphibian,3795,2017-03-22 11:47:48.781002+00,1,14,429
492,Bird,2882,2017-03-22 11:50:54.915402+00,1,14,527
493,Mammal,2623,2017-03-22 11:51:00.556+00,1,14,523
494,Bird,3012,2017-03-22 11:51:48.001212+00,1,14,326
495,Mammal,3184,2017-03-22 11:51:58.578612+00,1,14,454
496,Amphibian,4467,2017-03-22 11:52:42.045072+00,1,14,503
497,Mammal,3089,2017-03-22 11:53:18.411484+00,1,14,430
498,Amphibian,2640,2017-03-22 11:53:36.161893+00,1,14,543
499,Amphibian,3596,2017-03-22 11:54:28.746243+00,1,14,425
500,Bird,3955,2017-03-22 11:55:55.359445+00,1,14,443
501,Reptil,4223,2017-03-22 11:57:05.304691+00,1,14,459
502,Mammal,3027,2017-03-22 11:58:26.021474+00,1,14,373
503,Mammal,3139,2017-03-22 11:58:40.048437+00,1,14,388
504,Bird,3042,2017-03-22 12:00:34.037953+00,1,14,300
505,Mammal,2797,2017-03-22 12:01:12.777143+00,1,14,407
506,Bird,3056,2017-03-22 12:03:21.887991+00,1,14,356
507,Reptil,2586,2017-03-22 12:04:03.921876+00,1,14,119
508,Bird,3532,2017-03-22 12:04:10.008708+00,1,14,354
509,Mammal,2915,2017-03-22 12:04:33.608659+00,1,14,419
510,Bird,9891,2017-03-22 12:05:25.180051+00,1,14,277
511,Mammal,3815,2017-03-22 12:05:31.52837+00,1,14,327
512,Mammal,7354,2017-03-22 12:05:45.94428+00,1,14,378
513,Mammal,3839,2017-03-22 12:05:52.360283+00,1,14,555
514,Bird,3237,2017-03-22 12:05:58.246741+00,1,14,329
515,Bird,3355,2017-03-22 12:06:05.618095+00,1,14,207
516,Mammal,3827,2017-03-22 12:06:14.34265+00,1,14,263
517,Mammal,5843,2017-03-22 12:06:24.911405+00,1,14,506
518,Mammal,4001,2017-03-22 12:06:31.639792+00,1,14,368
519,Mammal,4202,2017-03-22 12:06:38.847983+00,1,14,321
520,Mammal,2996,2017-03-22 12:06:45.863592+00,1,14,453
521,Mammal,9344,2017-03-22 12:06:58.520253+00,1,14,342
522,Mammal,2457,2017-03-22 12:07:05.501017+00,1,14,147
523,Bird,2022,2017-03-22 12:07:27.943038+00,1,14,165
524,Mammal,14592,2017-03-22 12:07:49.622491+00,1,14,289
525,Bird,3328,2017-03-22 12:07:56.139665+00,1,14,352
526,Mammal,2080,2017-03-22 12:08:01.380333+00,1,14,275
527,Bird,1959,2017-03-22 12:08:09.525099+00,1,14,409
528,Bird,2504,2017-03-22 12:08:14.982161+00,1,14,2
529,Mammal,8506,2017-03-22 12:08:43.575299+00,1,14,225
530,Mammal,5900,2017-03-22 12:08:53.824919+00,1,14,551
531,Reptil,5317,2017-03-22 12:09:04.230719+00,1,14,70
532,Mammal,9543,2017-03-22 12:09:16.54621+00,1,14,83
533,Mammal,2976,2017-03-22 12:09:22.967244+00,1,14,325
534,Reptil,6938,2017-03-22 12:09:32.716259+00,1,14,470
537,Mammal,2663,2017-03-22 12:09:56.234099+00,1,14,343
541,Mammal,3122,2017-03-22 12:11:15.346447+00,1,14,244
535,Mammal,5241,2017-03-22 12:09:41.489305+00,1,14,522
536,Bird,2605,2017-03-22 12:09:49.78016+00,1,14,404
538,Mammal,28353,2017-03-22 12:10:28.224555+00,1,14,520
539,Mammal,16834,2017-03-22 12:10:52.986335+00,1,14,385
540,Reptil,9422,2017-03-22 12:11:05.916193+00,1,14,254
542,Mammal,2828,2017-03-22 12:16:14.921047+00,1,14,308
543,Reptil,12146,2017-03-22 12:16:30.259684+00,1,14,349
544,Mammal,2673,2017-03-22 12:16:36.826484+00,1,14,178
545,Mammal,9638,2017-03-22 12:16:49.736785+00,1,14,451
546,Mammal,6631,2017-03-22 12:17:00.603129+00,1,14,494
547,Bird,8820,2017-03-22 12:17:12.47994+00,1,14,416
548,Mammal,7341,2017-03-22 12:17:23.311206+00,1,14,253
549,Bird,1911,2017-03-22 12:17:47.917989+00,1,14,299
550,Mammal,2653,2017-03-22 12:17:54.685359+00,1,14,402
551,Mammal,3676,2017-03-22 12:18:01.05875+00,1,14,440
552,Bird,2030,2017-03-22 12:18:05.867762+00,1,14,209
553,Mammal,2162,2017-03-22 12:18:11.053032+00,1,14,188
554,Bird,2956,2017-03-22 12:18:16.87094+00,1,14,435
555,Mammal,3148,2017-03-22 12:18:23.697866+00,1,14,205
556,Mammal,2515,2017-03-22 12:18:29.025034+00,1,14,259
557,Mammal,2394,2017-03-22 12:18:36.592641+00,1,14,139
558,Reptil,2223,2017-03-22 12:18:42.704677+00,1,14,310
559,Mammal,5009,2017-03-22 12:18:50.519104+00,1,14,183
560,Mammal,4256,2017-03-22 12:18:57.894108+00,1,14,208
561,Reptil,4866,2017-03-22 12:19:26.640701+00,1,14,240
562,Mammal,2969,2017-03-22 12:19:32.76267+00,1,14,219
563,Mammal,2644,2017-03-22 12:19:38.328827+00,1,14,332
564,Amphibian,4338,2017-03-22 12:19:57.099861+00,1,14,50
565,Bird,14513,2017-03-23 19:39:00.964339+00,1,4,303
566,Amphibian,6860,2017-03-23 19:40:39.94196+00,1,4,115
567,Amphibian,3648,2017-03-23 19:42:09.739086+00,1,4,543
568,Mammal,9113,2017-03-23 19:47:32.20773+00,1,4,368
569,Bird,2751,2017-03-23 19:50:37.622686+00,1,4,288
570,Mammal,3535,2017-03-23 19:53:28.351518+00,1,4,506
571,Mammal,4654,2017-03-23 19:55:35.011041+00,1,4,219
572,Mammal,24707,2017-03-23 19:56:39.433562+00,1,4,568
573,Mammal,2394,2017-03-23 19:57:06.381784+00,1,4,332
574,Mammal,5545,2017-03-23 19:57:15.539169+00,1,4,208
575,Mammal,3739,2017-03-23 19:57:49.252173+00,1,4,321
576,Bird,3220,2017-03-23 19:57:55.111468+00,1,4,277
577,Mammal,15455,2017-03-23 20:06:23.03749+00,1,4,520
578,Mammal,4680,2017-03-23 20:12:14.379845+00,1,4,12
579,Bird,2140,2017-03-23 20:13:08.36594+00,1,4,324
580,Reptil,6588,2017-03-23 20:14:05.352496+00,1,4,349
581,Mammal,6429,2017-03-23 20:15:57.306304+00,1,4,166
582,Mammal,8764,2017-03-23 20:20:26.911198+00,1,4,522
583,Mammal,4664,2017-03-23 20:23:04.963174+00,1,4,221
584,Bird,2979,2017-03-23 20:23:21.365547+00,1,4,95
585,Reptil,9445,2017-03-23 20:26:56.082165+00,1,4,539
586,Amphibian,7220,2017-03-24 19:02:04.260839+00,1,10,503
587,Amphibian,3954,2017-03-24 19:06:02.749636+00,1,10,425
588,Amphibian,3661,2017-03-24 19:06:17.776339+00,1,10,470
589,Mammal,7290,2017-03-24 22:12:54.754752+00,1,22,555
590,Mammal,3736,2017-03-24 22:15:21.515242+00,1,22,451
591,Mammal,3393,2017-03-24 22:15:29.179542+00,1,22,522
592,Mammal,4128,2017-03-24 22:17:26.284559+00,1,22,368
593,Amphibian,3251,2017-03-24 22:23:18.855537+00,1,22,157
594,Mammal,5146,2017-03-24 22:26:30.796547+00,1,22,402
595,Bird,5231,2017-03-24 22:34:29.827974+00,1,22,324
596,Mammal,4227,2017-03-24 22:34:47.648046+00,1,22,83
597,Bird,8323,2017-03-24 22:35:59.458208+00,1,22,288
598,Bird,5413,2017-03-24 22:50:46.988715+00,1,22,329
599,Mammal,3258,2017-03-24 22:52:19.310863+00,1,22,332
600,Mammal,3314,2017-03-24 22:54:58.728109+00,1,22,147
601,Mammal,2964,2017-03-24 22:55:26.52537+00,1,22,219
602,Mammal,3022,2017-03-24 22:55:57.60798+00,1,22,440
603,Bird,3720,2017-03-24 22:56:38.099415+00,1,22,303
604,Bird,3080,2017-03-24 22:57:08.707434+00,1,22,409
605,Mammal,3200,2017-03-24 22:57:38.310789+00,1,22,378
606,Reptil,3089,2017-03-24 23:00:21.473999+00,1,22,344
607,Reptil,22029,2017-03-24 23:01:32.53954+00,1,22,240
608,Mammal,2685,2017-03-24 23:02:00.89285+00,1,22,94
609,Bird,3059,2017-03-24 23:02:06.122674+00,1,22,354
610,Mammal,17235,2017-03-24 23:04:42.575267+00,1,22,259
611,Mammal,6344,2017-03-24 23:09:07.302935+00,1,22,225
612,Mammal,3489,2017-03-24 23:09:38.428544+00,1,22,430
613,Mammal,7385,2017-03-24 23:10:25.178824+00,1,22,161
614,Bird,3220,2017-03-24 23:12:32.134475+00,1,22,326
615,Mammal,3644,2017-03-24 23:17:02.003591+00,1,22,407
616,Mammal,11431,2017-03-24 23:18:06.58385+00,1,22,221
617,Reptil,4073,2017-03-24 23:19:36.758907+00,1,22,70
618,Mammal,4309,2017-03-24 23:21:14.735673+00,1,22,230
619,Mammal,3491,2017-03-24 23:22:44.620539+00,1,22,373
620,Mammal,3280,2017-03-24 23:22:50.467075+00,1,22,366
621,Bird,3642,2017-03-24 23:24:05.680865+00,1,22,207
622,Mammal,3273,2017-03-24 23:25:48.387315+00,1,22,525
623,Mammal,3237,2017-03-24 23:26:24.916897+00,1,22,178
624,Mammal,2979,2017-03-24 23:27:11.352564+00,1,22,531
625,Bird,3208,2017-03-24 23:29:34.171007+00,1,22,262
626,Amphibian,3138,2017-03-24 23:30:12.295059+00,1,22,425
627,Mammal,8922,2017-03-25 02:32:30.138933+00,1,22,308
628,Amphibian,4291,2017-03-25 02:37:45.827336+00,1,22,115
629,Bird,13145,2017-03-25 02:39:48.275781+00,1,22,277
630,Bird,2721,2017-03-25 02:41:26.382277+00,1,22,544
631,Mammal,3561,2017-03-25 02:42:14.396695+00,1,22,278
632,Mammal,4458,2017-03-25 02:42:25.608894+00,1,22,342
633,Mammal,3853,2017-03-25 02:43:41.915472+00,1,22,520
634,Mammal,2470,2017-03-25 02:44:35.520691+00,1,22,417
635,Mammal,2377,2017-03-25 02:44:51.478397+00,1,22,123
636,Bird,3385,2017-03-25 02:47:00.471723+00,1,22,95
637,Mammal,4438,2017-03-25 02:49:01.720331+00,1,22,457
638,Mammal,3701,2017-03-25 02:51:33.743131+00,1,22,164
639,Amphibian,3708,2017-03-25 02:51:40.310555+00,1,22,543
640,Mammal,3337,2017-03-25 02:51:46.209251+00,1,22,301
641,Reptil,3476,2017-03-25 02:52:28.514943+00,1,22,470
642,Mammal,5287,2017-03-25 02:52:45.514087+00,1,22,101
643,Mammal,29202,2017-03-25 02:54:13.87399+00,1,22,68
644,Mammal,3474,2017-03-25 02:55:06.39068+00,1,22,506
645,Reptil,15807,2017-03-25 02:55:59.567578+00,1,22,119
646,Mammal,6059,2017-03-25 02:57:14.885584+00,1,22,453
647,Mammal,3147,2017-03-25 02:57:52.993872+00,1,22,144
648,Reptil,5247,2017-03-25 02:59:15.02045+00,1,22,459
649,Reptil,5049,2017-03-25 02:59:22.722045+00,1,22,263
650,Mammal,2398,2017-03-25 02:59:51.155591+00,1,22,139
651,Reptil,10564,2017-03-25 03:00:04.400059+00,1,22,254
652,Mammal,5226,2017-03-25 03:00:56.49265+00,1,22,244
653,Mammal,3593,2017-03-25 03:02:04.221938+00,1,22,523
654,Mammal,3335,2017-03-25 03:02:13.100351+00,1,22,124
655,Mammal,7728,2017-03-25 03:02:27.785733+00,1,22,12
656,Mammal,16402,2017-03-25 03:02:47.805269+00,1,22,88
657,Mammal,2670,2017-03-25 03:02:52.950104+00,1,22,565
658,Reptil,1990,2017-03-25 03:02:59.536563+00,1,22,545
659,Mammal,2943,2017-03-25 03:03:06.034537+00,1,22,208
660,Mammal,4565,2017-03-25 03:03:14.15536+00,1,22,183
661,Reptil,3324,2017-03-25 03:03:21.661804+00,1,22,305
662,Bird,2180,2017-03-25 03:03:27.637128+00,1,22,443
663,Mammal,2675,2017-03-25 03:03:32.89813+00,1,22,327
664,Mammal,30689,2017-03-25 03:04:07.351718+00,1,22,321
665,Mammal,4138,2017-03-25 03:04:18.34154+00,1,22,388
666,Mammal,2867,2017-03-25 03:04:26.321242+00,1,22,385
667,Mammal,7208,2017-03-25 03:04:36.878785+00,1,22,37
668,Amphibian,2914,2017-03-25 03:04:42.94035+00,1,22,50
669,Mammal,2274,2017-03-25 03:04:47.588653+00,1,22,205
670,Mammal,3027,2017-03-25 03:04:53.598104+00,1,22,360
671,Bird,5777,2017-03-25 03:05:02.48793+00,1,22,165
672,Amphibian,11292,2017-03-25 03:05:16.908888+00,1,22,539
673,Bird,3535,2017-03-25 03:06:16.689043+00,1,22,269
674,Mammal,5563,2017-03-25 03:06:25.384347+00,1,22,476
675,Mammal,5521,2017-03-25 03:06:36.202887+00,1,22,306
676,Bird,2182,2017-03-25 03:06:41.14262+00,1,22,299
677,Mammal,3189,2017-03-25 03:06:47.60352+00,1,22,551
678,Mammal,3304,2017-03-25 03:06:53.404485+00,1,22,568
679,Bird,4012,2017-03-25 03:07:00.463828+00,1,22,404
680,Amphibian,3390,2017-03-25 03:07:06.854363+00,1,22,503
681,Bird,3529,2017-03-25 03:07:13.13902+00,1,22,166
682,Mammal,2596,2017-03-25 03:07:18.380047+00,1,22,483
683,Mammal,2095,2017-03-25 03:07:23.754952+00,1,22,572
684,Amphibian,2505,2017-03-25 03:07:29.134912+00,1,22,429
685,Mammal,5242,2017-03-25 03:07:37.857556+00,1,22,471
686,Mammal,4956,2017-03-25 03:07:45.413145+00,1,22,289
687,Bird,16592,2017-03-25 03:08:05.180871+00,1,22,416
688,Mammal,5421,2017-03-25 03:08:13.92249+00,1,22,275
689,Mammal,2490,2017-03-25 03:08:19.22953+00,1,22,57
690,Mammal,2031,2017-03-25 03:08:23.949108+00,1,22,188
691,Reptil,3443,2017-03-25 03:08:30.123224+00,1,22,310
692,Mammal,2239,2017-03-25 03:08:35.79335+00,1,22,454
693,Mammal,4470,2017-03-25 03:08:43.097108+00,1,22,253
694,Bird,3442,2017-03-25 03:08:49.72999+00,1,22,209
695,Bird,7755,2017-03-25 03:09:00.193285+00,1,22,435
696,Bird,2973,2017-03-25 03:09:06.700915+00,1,22,550
697,Bird,6703,2017-03-25 03:09:18.245336+00,1,22,352
698,Mammal,6803,2017-03-25 03:09:28.854541+00,1,22,343
699,Reptil,6067,2017-03-25 03:09:38.042317+00,1,22,349
700,Bird,30779,2017-03-25 03:10:12.242163+00,1,22,300
701,Bird,4432,2017-03-25 16:51:28.054779+00,1,3,443
702,Mammal,4131,2017-03-25 16:53:12.402365+00,1,3,88
703,Mammal,4157,2017-03-25 16:55:17.208418+00,1,3,483
704,Mammal,3695,2017-03-25 16:55:55.065067+00,1,3,565
705,Mammal,4087,2017-03-25 16:58:06.811638+00,1,3,366
706,Mammal,3467,2017-03-25 16:59:18.052154+00,1,3,506
707,Mammal,2593,2017-03-25 16:59:54.247439+00,1,3,144
708,Mammal,2221,2017-03-25 17:00:05.798712+00,1,3,523
709,Mammal,2530,2017-03-25 17:03:39.63775+00,1,3,306
710,Bird,2911,2017-03-25 17:04:30.128247+00,1,3,303
711,Mammal,2300,2017-03-25 17:04:46.52988+00,1,3,101
712,Bird,3363,2017-03-25 17:08:06.80694+00,1,3,300
713,Mammal,2632,2017-03-25 17:08:27.452046+00,1,3,451
714,Bird,2587,2017-03-25 17:08:51.102118+00,1,3,352
715,Bird,2541,2017-03-25 17:09:27.450962+00,1,3,166
716,Reptil,3058,2017-03-25 17:09:32.54577+00,1,3,119
