id,value,milliseconds,created,nquestions,expert_id,object_id
717,Mammal,2482,2017-03-25 17:09:55.718805+00,1,3,230
718,Mammal,3069,2017-03-25 17:10:10.02281+00,1,3,368
719,Mammal,2409,2017-03-25 17:10:14.099037+00,1,3,325
720,Reptil,3951,2017-03-25 17:10:36.549914+00,1,3,305
721,Reptil,2673,2017-03-25 17:12:25.431618+00,1,3,240
722,Bird,3246,2017-03-25 17:12:45.904747+00,1,3,435
723,Bird,1955,2017-03-25 17:13:54.864369+00,1,3,404
724,Mammal,2511,2017-03-25 17:17:41.664617+00,1,3,263
725,Mammal,6484,2017-03-25 17:18:38.578356+00,1,3,453
726,Bird,9654,2017-03-25 17:25:38.348809+00,1,3,329
727,Mammal,8610,2017-03-25 17:31:57.149188+00,1,3,520
728,Mammal,3010,2017-03-25 17:32:19.046946+00,1,3,221
729,Bird,3324,2017-03-25 17:34:31.362117+00,1,3,209
730,Mammal,3240,2017-03-25 17:34:40.808901+00,1,3,378
731,Mammal,36708,2017-03-25 17:35:31.35467+00,1,3,164
732,Mammal,3523,2017-03-25 17:35:56.97396+00,1,3,457
733,Mammal,3107,2017-03-25 17:36:33.348554+00,1,3,205
734,Mammal,1952,2017-03-25 17:37:37.428915+00,1,3,83
735,Mammal,1893,2017-03-25 17:38:05.002873+00,1,3,471
736,Mammal,2873,2017-03-25 17:38:10.304838+00,1,3,219
737,Mammal,2762,2017-03-25 17:40:41.25677+00,1,3,555
738,Mammal,3592,2017-03-25 17:45:56.053299+00,1,3,373
739,Reptil,5756,2017-03-25 17:47:39.040043+00,1,3,349
740,Reptil,59374,2017-03-25 17:49:04.751586+00,1,3,545
741,Mammal,2423,2017-03-25 17:49:29.934185+00,1,3,522
742,Mammal,2616,2017-03-25 17:50:59.134362+00,1,3,308
743,Mammal,3392,2017-03-25 17:51:39.523465+00,1,3,57
744,Mammal,2386,2017-03-25 17:51:49.95418+00,1,3,454
745,Bird,2539,2017-03-25 17:52:39.957074+00,1,3,544
746,Mammal,2505,2017-03-25 17:54:33.957661+00,1,3,188
747,Mammal,2183,2017-03-25 17:54:58.001934+00,1,3,385
748,Mammal,2582,2017-03-25 17:55:06.064305+00,1,3,124
749,Bird,2943,2017-03-25 17:55:23.162934+00,1,3,550
750,Mammal,2892,2017-03-25 17:55:36.856649+00,1,3,327
751,Mammal,3069,2017-03-25 17:55:45.805545+00,1,3,494
752,Mammal,2693,2017-03-25 17:55:58.193163+00,1,3,139
753,Bird,5012,2017-03-25 17:56:37.112817+00,1,3,262
754,Mammal,3343,2017-03-25 17:56:46.566153+00,1,3,430
755,Reptil,10023,2017-03-25 17:56:59.034205+00,1,3,254
756,Bird,2387,2017-03-25 17:57:03.953075+00,1,3,2
757,Mammal,3173,2017-03-25 17:57:09.390293+00,1,3,388
759,Reptil,2535,2017-03-25 17:57:19.284188+00,1,3,470
760,Bird,1823,2017-03-25 17:57:23.367822+00,1,3,354
762,Mammal,1730,2017-03-25 17:57:32.095458+00,1,3,183
767,Mammal,1489,2017-03-25 17:57:55.899085+00,1,3,161
768,Mammal,3308,2017-03-25 17:58:01.676953+00,1,3,321
770,Bird,1733,2017-03-25 17:58:10.06674+00,1,3,95
772,Amphibian,4214,2017-03-25 17:58:21.098726+00,1,3,503
758,Bird,2543,2017-03-25 17:57:14.422089+00,1,3,409
761,Amphibian,2301,2017-03-25 17:57:28.031689+00,1,3,115
763,Amphibian,2821,2017-03-25 17:57:37.344377+00,1,3,425
764,Bird,1542,2017-03-25 17:57:42.313253+00,1,3,326
765,Mammal,1900,2017-03-25 17:57:46.723951+00,1,3,147
766,Mammal,2451,2017-03-25 17:57:51.795045+00,1,3,12
769,Mammal,1933,2017-03-25 17:58:05.976514+00,1,3,419
771,Mammal,1954,2017-03-25 17:58:14.640329+00,1,3,342
773,Mammal,1651,2017-03-25 17:58:25.100789+00,1,3,178
774,Amphibian,1760,2017-03-25 17:58:29.200133+00,1,3,429
775,Mammal,2169,2017-03-25 17:58:33.622799+00,1,3,551
776,Mammal,2840,2017-03-25 17:58:38.845649+00,1,3,37
777,Mammal,3416,2017-03-25 17:58:45.126445+00,1,3,332
778,Mammal,4887,2017-03-25 17:58:52.377965+00,1,3,572
779,Mammal,4311,2017-03-25 17:58:59.022527+00,1,3,407
780,Bird,4577,2017-03-25 17:59:06.057623+00,1,3,288
781,Mammal,2265,2017-03-25 17:59:10.657143+00,1,3,225
782,Bird,5048,2017-03-25 17:59:18.206204+00,1,3,324
783,Mammal,6561,2017-03-25 17:59:27.323034+00,1,3,278
784,Mammal,6443,2017-03-25 17:59:36.203133+00,1,3,253
785,Reptil,4063,2017-03-25 17:59:43.118716+00,1,3,70
786,Reptil,2207,2017-03-25 17:59:48.142337+00,1,3,459
787,Mammal,1664,2017-03-25 17:59:52.230239+00,1,3,525
788,Bird,1922,2017-03-25 17:59:56.54625+00,1,3,416
789,Amphibian,1503,2017-03-25 18:00:00.459479+00,1,3,543
790,Mammal,3817,2017-03-25 18:00:06.95337+00,1,3,417
791,Bird,1629,2017-03-25 18:00:11.34859+00,1,3,165
792,Mammal,1414,2017-03-25 18:00:15.564084+00,1,3,275
793,Amphibian,3423,2017-03-25 18:00:21.295769+00,1,3,539
794,Mammal,1897,2017-03-25 18:00:26.295834+00,1,3,476
795,Mammal,2223,2017-03-25 18:00:32.033117+00,1,3,568
796,Mammal,1159,2017-03-25 18:00:36.874637+00,1,3,94
797,Mammal,1759,2017-03-25 18:00:42.643669+00,1,3,123
798,Bird,2408,2017-03-25 18:00:49.134791+00,1,3,191
799,Reptil,3235,2017-03-25 18:00:55.322436+00,1,3,310
800,Bird,1513,2017-03-25 18:01:00.253409+00,1,3,356
801,Mammal,1339,2017-03-25 18:01:05.080808+00,1,3,301
802,Mammal,1290,2017-03-25 18:01:09.399761+00,1,3,208
803,Bird,2180,2017-03-25 18:01:14.851356+00,1,3,527
804,Mammal,1471,2017-03-25 18:01:19.192523+00,1,3,531
805,Bird,8256,2017-03-25 18:01:30.424908+00,1,3,299
806,Mammal,6638,2017-03-25 18:01:40.127112+00,1,3,402
807,Bird,9137,2017-03-25 18:22:49.082163+00,1,10,269
808,Mammal,27279,2017-03-25 18:23:54.092549+00,1,10,83
809,Reptil,22243,2017-03-25 18:31:13.374068+00,1,10,70
810,Mammal,6600,2017-03-25 18:32:59.344589+00,1,10,308
811,Bird,3061,2017-03-25 18:36:49.874652+00,1,10,435
812,Amphibian,5120,2017-03-25 18:49:43.197357+00,1,10,429
813,Bird,5288,2017-03-25 18:56:24.121981+00,1,10,416
814,Mammal,4692,2017-03-25 19:01:07.087238+00,1,10,332
815,Mammal,3187,2017-03-25 19:03:00.607461+00,1,10,457
816,Bird,3635,2017-03-25 20:12:47.158827+00,1,10,303
817,Mammal,3679,2017-03-25 20:13:15.690714+00,1,10,551
818,Reptil,19033,2017-03-25 20:14:09.341668+00,1,10,254
819,Bird,4040,2017-03-25 20:14:20.991174+00,1,10,527
820,Bird,3090,2017-03-25 20:15:58.646108+00,1,10,277
821,Mammal,3624,2017-03-25 20:16:03.953723+00,1,10,37
822,Bird,3471,2017-03-25 20:18:06.158398+00,1,10,207
823,Mammal,9301,2017-03-25 20:18:17.116496+00,1,10,453
824,Mammal,4190,2017-03-25 20:19:56.997924+00,1,10,301
825,Bird,3346,2017-03-25 20:20:02.101988+00,1,10,262
826,Mammal,5401,2017-03-25 20:20:12.972574+00,1,10,378
827,Mammal,3914,2017-03-25 20:23:48.926524+00,1,10,325
828,Reptil,14156,2017-03-25 20:24:13.659204+00,1,10,119
829,Mammal,4001,2017-03-25 20:24:54.128468+00,1,10,208
830,Amphibian,12014,2017-03-25 20:26:37.986704+00,1,26,221
831,Mammal,3452,2017-03-25 20:31:13.358375+00,1,26,183
832,Bird,1854,2017-03-25 20:31:16.592568+00,1,19,527
833,Amphibian,8290,2017-03-25 20:31:43.644222+00,1,26,50
834,Mammal,2058,2017-03-25 20:32:08.678877+00,1,19,572
835,Bird,5429,2017-03-25 20:33:37.60138+00,1,26,207
836,Mammal,3305,2017-03-25 20:34:16.95756+00,1,19,366
837,Mammal,2502,2017-03-25 20:39:07.789506+00,1,19,360
838,Amphibian,8243,2017-03-25 20:39:15.803591+00,1,10,157
839,Bird,4393,2017-03-25 20:39:26.61748+00,1,10,288
840,Mammal,13367,2017-03-25 20:41:00.77756+00,1,10,520
841,Mammal,8421,2017-03-25 20:41:20.209571+00,1,10,506
842,Mammal,2515,2017-03-25 20:41:24.765847+00,1,10,531
843,Amphibian,30032,2017-03-25 20:41:34.48996+00,1,26,94
844,Bird,2819,2017-03-25 20:41:38.94205+00,1,26,262
845,Amphibian,22304,2017-03-25 20:42:04.103081+00,1,26,275
846,Bird,3426,2017-03-25 20:42:29.722453+00,1,19,277
847,Mammal,6499,2017-03-25 20:42:31.164508+00,1,10,522
848,Amphibian,3563,2017-03-25 20:42:53.612843+00,1,26,402
849,Mammal,2583,2017-03-25 20:44:24.752736+00,1,19,94
850,Mammal,7618,2017-03-25 20:46:50.447527+00,1,10,419
851,Bird,12598,2017-03-25 20:46:52.321167+00,1,26,269
852,Amphibian,7523,2017-03-25 20:47:14.699398+00,1,26,430
853,Amphibian,3196,2017-03-25 20:47:30.780339+00,1,26,157
854,Bird,7367,2017-03-25 20:48:00.792192+00,1,10,300
855,Mammal,4358,2017-03-25 20:48:51.082281+00,1,10,225
856,Bird,3491,2017-03-25 20:49:02.152604+00,1,10,299
857,Amphibian,4283,2017-03-25 20:50:58.740631+00,1,10,543
858,Amphibian,7915,2017-03-25 20:52:53.747592+00,1,26,506
859,Mammal,4052,2017-03-25 20:52:56.669008+00,1,19,494
860,Amphibian,12562,2017-03-25 20:53:15.319061+00,1,26,344
861,Amphibian,3691,2017-03-25 20:56:03.694311+00,1,26,459
862,Amphibian,5260,2017-03-25 20:57:57.814628+00,1,26,147
863,Bird,6304,2017-03-25 20:58:58.392791+00,1,10,356
864,Amphibian,15232,2017-03-25 20:59:57.205736+00,1,26,454
865,Bird,8616,2017-03-25 21:00:44.452149+00,1,10,95
866,Bird,7975,2017-03-25 21:02:40.303323+00,1,10,443
867,Bird,5807,2017-03-25 21:03:07.906297+00,1,10,2
868,Amphibian,2228,2017-03-25 21:07:07.34556+00,1,26,219
869,Amphibian,2480,2017-03-25 21:09:58.302862+00,1,26,325
870,Amphibian,2250,2017-03-25 21:11:09.837255+00,1,26,57
871,Amphibian,3984,2017-03-25 21:12:01.641161+00,1,26,425
872,Mammal,2178,2017-03-25 21:12:22.422615+00,1,10,139
873,Amphibian,2506,2017-03-25 21:12:29.179855+00,1,26,342
874,Bird,2701,2017-03-25 21:14:56.726273+00,1,16,2
875,Bird,5560,2017-03-25 21:15:39.615871+00,1,16,324
876,Mammal,3637,2017-03-25 21:15:50.314568+00,1,16,124
877,Amphibian,4105,2017-03-25 21:16:27.055187+00,1,10,115
878,Amphibian,13150,2017-03-25 21:17:12.28491+00,1,26,178
879,Amphibian,8041,2017-03-25 21:19:10.762499+00,1,26,531
880,Amphibian,5463,2017-03-25 21:19:18.680262+00,1,26,343
881,Mammal,6044,2017-03-25 21:24:34.092367+00,1,10,451
882,Reptil,8131,2017-03-25 21:25:26.171575+00,1,10,545
883,Mammal,3661,2017-03-25 21:25:26.312788+00,1,16,332
884,Mammal,4213,2017-03-25 21:26:03.914895+00,1,10,306
885,Mammal,2711,2017-03-25 21:26:46.56477+00,1,10,123
886,Mammal,3670,2017-03-25 21:28:36.266353+00,1,16,164
887,Bird,3399,2017-03-25 21:28:52.785108+00,1,16,404
888,Bird,2894,2017-03-25 21:29:19.312125+00,1,16,269
889,Mammal,2639,2017-03-25 21:30:03.357703+00,1,16,565
890,Bird,2618,2017-03-25 21:30:32.496517+00,1,16,303
891,Reptil,4226,2017-03-25 21:31:07.518818+00,1,16,119
892,Bird,2360,2017-03-25 21:31:56.555193+00,1,16,326
893,Mammal,3333,2017-03-25 21:34:17.793798+00,1,16,68
894,Mammal,4535,2017-03-25 21:37:25.194309+00,1,16,301
895,Mammal,4026,2017-03-25 21:37:49.573211+00,1,16,454
896,Amphibian,3894,2017-03-25 21:39:10.276553+00,1,16,50
897,Mammal,2199,2017-03-25 21:39:23.704279+00,1,16,183
898,Mammal,3913,2017-03-25 21:41:06.324252+00,1,16,430
899,Mammal,3294,2017-03-25 21:41:51.259506+00,1,16,327
900,Mammal,2949,2017-03-25 21:42:36.919302+00,1,16,407
901,Amphibian,4083,2017-03-25 21:43:14.970693+00,1,16,503
902,Mammal,3456,2017-03-25 21:43:41.355523+00,1,16,57
903,Mammal,2477,2017-03-25 21:45:37.682888+00,1,16,188
904,Mammal,4593,2017-03-25 22:32:22.191652+00,1,7,124
905,Mammal,10039,2017-03-25 22:33:05.54122+00,1,7,88
906,Reptil,4333,2017-03-25 22:37:58.302492+00,1,7,305
907,Bird,5640,2017-03-25 22:44:52.963717+00,1,27,326
908,Mammal,13690,2017-03-25 22:45:31.275672+00,1,27,205
909,Mammal,2486,2017-03-25 22:49:36.870464+00,1,7,144
910,Amphibian,11424,2017-03-25 22:50:59.516057+00,1,7,539
911,Mammal,7434,2017-03-25 22:53:35.0633+00,1,7,178
912,Reptil,7365,2017-03-25 22:56:04.992403+00,1,7,344
913,Mammal,3239,2017-03-25 22:56:36.67092+00,1,17,407
914,Mammal,4288,2017-03-25 22:57:00.530811+00,1,7,572
915,Mammal,3047,2017-03-25 22:57:06.521947+00,1,7,407
916,Bird,13762,2017-03-25 22:57:23.411671+00,1,7,303
917,Mammal,4475,2017-03-25 22:58:36.310835+00,1,17,520
918,Bird,2671,2017-03-25 22:59:15.138629+00,1,17,354
919,Bird,2850,2017-03-25 22:59:39.507624+00,1,17,550
920,Reptil,2436,2017-03-25 22:59:54.159133+00,1,17,545
921,Mammal,2529,2017-03-25 23:00:23.752954+00,1,7,289
922,Mammal,3213,2017-03-25 23:03:40.217277+00,1,7,343
923,Mammal,2999,2017-03-25 23:05:10.351572+00,1,7,306
924,Bird,2620,2017-03-25 23:05:28.724149+00,1,7,299
925,Bird,15066,2017-03-25 23:05:56.848216+00,1,7,166
926,Mammal,3983,2017-03-25 23:06:30.961911+00,1,7,301
927,Bird,8865,2017-03-25 23:06:44.669334+00,1,7,352
928,Mammal,3002,2017-03-25 23:07:42.271024+00,1,7,259
929,Mammal,7137,2017-03-25 23:09:03.54244+00,1,7,327
930,Mammal,8610,2017-03-25 23:10:20.632704+00,1,7,483
931,Mammal,11213,2017-03-25 23:12:16.458558+00,1,7,368
932,Mammal,2380,2017-03-25 23:12:42.901783+00,1,7,83
933,Reptil,3823,2017-03-25 23:12:50.141983+00,1,7,240
934,Mammal,2797,2017-03-25 23:12:55.722133+00,1,7,221
935,Mammal,3311,2017-03-25 23:13:01.8669+00,1,7,342
936,Mammal,1954,2017-03-25 23:13:06.783251+00,1,7,208
937,Bird,12313,2017-03-25 23:13:22.241781+00,1,7,404
938,Mammal,3620,2017-03-25 23:13:29.968498+00,1,7,57
939,Mammal,5273,2017-03-25 23:13:38.464153+00,1,7,37
940,Bird,9084,2017-03-25 23:13:51.277364+00,1,7,324
941,Mammal,10901,2017-03-25 23:14:05.609207+00,1,7,522
942,Reptil,15510,2017-03-25 23:14:24.556885+00,1,7,349
943,Bird,3337,2017-03-25 23:14:30.764638+00,1,7,95
944,Bird,39086,2017-03-25 23:15:13.409762+00,1,7,191
945,Bird,7771,2017-03-25 23:15:24.662163+00,1,7,300
946,Bird,55905,2017-03-25 23:16:25.70328+00,1,7,527
947,Mammal,6107,2017-03-25 23:16:49.76959+00,1,7,205
948,Mammal,7407,2017-03-25 23:17:00.607194+00,1,7,219
949,Reptil,2961,2017-03-25 23:17:06.090372+00,1,7,254
950,Bird,2666,2017-03-25 23:17:11.479089+00,1,7,416
951,Mammal,8075,2017-03-25 23:17:22.339425+00,1,7,275
952,Bird,4775,2017-03-25 23:17:30.159058+00,1,7,356
953,Mammal,3016,2017-03-25 23:17:35.812534+00,1,7,253
954,Mammal,6951,2017-03-25 23:17:45.803028+00,1,7,321
955,Bird,3404,2017-03-25 23:17:52.45994+00,1,7,288
956,Mammal,4760,2017-03-25 23:18:00.31485+00,1,7,244
957,Reptil,3066,2017-03-25 23:18:06.055463+00,1,7,70
958,Mammal,2567,2017-03-25 23:18:12.270498+00,1,7,68
959,Amphibian,11230,2017-03-25 23:18:27.062199+00,1,7,503
960,Bird,4575,2017-03-25 23:18:38.413179+00,1,7,207
961,Mammal,3767,2017-03-25 23:18:45.45354+00,1,7,402
962,Mammal,3054,2017-03-25 23:18:51.834615+00,1,7,278
963,Reptil,2350,2017-03-25 23:18:56.875281+00,1,7,459
964,Mammal,20396,2017-03-25 23:19:20.292379+00,1,7,430
965,Reptil,7552,2017-03-25 23:19:32.171348+00,1,7,119
966,Mammal,2666,2017-03-25 23:19:38.001542+00,1,7,565
967,Mammal,2581,2017-03-25 23:19:43.068503+00,1,7,366
968,Bird,1931,2017-03-25 23:19:47.943003+00,1,7,2
969,Mammal,3108,2017-03-25 23:19:53.913847+00,1,7,225
970,Mammal,5546,2017-03-25 23:20:02.514672+00,1,7,440
971,Mammal,7423,2017-03-25 23:20:13.35046+00,1,7,385
972,Bird,5476,2017-03-25 23:20:21.824899+00,1,7,262
973,Bird,5691,2017-03-25 23:20:30.53326+00,1,7,354
974,Mammal,17794,2017-03-25 23:20:52.241391+00,1,7,139
975,Mammal,4806,2017-03-25 23:21:00.133896+00,1,7,494
976,Mammal,38694,2017-03-25 23:21:41.905721+00,1,7,360
977,Mammal,12342,2017-03-25 23:21:57.280455+00,1,7,230
978,Amphibian,3909,2017-03-25 23:22:04.480195+00,1,7,157
979,Reptil,2619,2017-03-25 23:22:10.385283+00,1,7,310
980,Mammal,4462,2017-03-25 23:22:17.471158+00,1,7,388
981,Mammal,26663,2017-03-25 23:22:47.242228+00,1,7,378
982,Mammal,7571,2017-03-25 23:22:57.326681+00,1,7,551
983,Mammal,2341,2017-03-25 23:23:02.446566+00,1,7,164
984,Mammal,2727,2017-03-25 23:23:07.907423+00,1,7,373
985,Amphibian,4633,2017-03-25 23:23:14.957728+00,1,7,429
986,Reptil,6828,2017-03-25 23:23:24.681549+00,1,7,470
987,Mammal,16268,2017-03-25 23:23:44.072429+00,1,7,94
988,Mammal,3442,2017-03-25 23:23:50.711036+00,1,7,332
989,Bird,4884,2017-03-26 01:03:57.69605+00,1,11,262
990,Mammal,5452,2017-03-26 01:04:36.816897+00,1,11,225
991,Mammal,2470,2017-03-26 01:04:45.050764+00,1,11,139
992,Mammal,2914,2017-03-26 01:05:26.072808+00,1,11,373
993,Mammal,2670,2017-03-26 01:06:37.816457+00,1,11,68
994,Mammal,6171,2017-03-26 01:07:35.730398+00,1,11,368
995,Mammal,4427,2017-03-26 01:08:08.354159+00,1,11,342
996,Reptil,14206,2017-03-26 01:08:37.035588+00,1,11,349
997,Amphibian,8625,2017-03-26 01:08:47.887111+00,1,11,539
998,Mammal,4763,2017-03-26 01:09:16.413481+00,1,11,57
999,Mammal,2165,2017-03-26 01:10:20.987119+00,1,11,378
1000,Bird,3816,2017-03-26 01:10:54.406594+00,1,11,329
1001,Mammal,3813,2017-03-26 01:11:18.819192+00,1,11,301
1002,Amphibian,4159,2017-03-26 01:11:48.614571+00,1,11,503
1003,Mammal,4811,2017-03-26 01:12:16.085852+00,1,11,555
1004,Mammal,3625,2017-03-26 01:12:22.217727+00,1,11,253
1005,Mammal,1930,2017-03-26 01:12:26.416709+00,1,11,178
1006,Mammal,4401,2017-03-26 01:12:33.489452+00,1,11,306
1007,Mammal,4073,2017-03-26 01:12:40.263007+00,1,11,208
1008,Mammal,3165,2017-03-26 01:12:45.937486+00,1,11,321
1009,Mammal,2833,2017-03-26 01:12:51.477693+00,1,11,430
1010,Mammal,3326,2017-03-26 01:12:57.414127+00,1,11,568
1011,Mammal,4710,2017-03-26 01:13:04.485398+00,1,11,12
1012,Mammal,3972,2017-03-26 01:13:11.590541+00,1,11,451
1013,Mammal,3870,2017-03-26 01:13:17.846713+00,1,11,366
1014,Amphibian,4334,2017-03-26 01:13:24.668348+00,1,11,429
1015,Bird,2837,2017-03-26 01:13:30.499228+00,1,11,165
1016,Mammal,2493,2017-03-26 01:13:35.383346+00,1,11,37
1017,Mammal,2480,2017-03-26 01:13:40.558987+00,1,11,263
1018,Mammal,2127,2017-03-26 01:13:45.167791+00,1,11,161
1019,Mammal,3000,2017-03-26 01:13:51.082175+00,1,11,332
1020,Mammal,3566,2017-03-26 01:13:57.292965+00,1,11,531
1021,Bird,2998,2017-03-26 01:14:02.738633+00,1,11,435
1022,Bird,2557,2017-03-26 01:14:07.697747+00,1,11,300
1023,Bird,1973,2017-03-26 01:14:12.44809+00,1,11,2
1024,Reptil,3313,2017-03-26 01:14:18.452782+00,1,11,470
1025,Bird,3518,2017-03-26 01:14:24.340542+00,1,11,404
1026,Mammal,3490,2017-03-26 01:14:32.482543+00,1,11,83
1027,Bird,2826,2017-03-26 01:14:37.801016+00,1,11,326
1028,Reptil,5992,2017-03-26 01:14:46.298792+00,1,11,240
1029,Bird,4256,2017-03-26 01:14:53.305318+00,1,11,352
1030,Bird,5329,2017-03-26 01:15:01.216215+00,1,11,356
1031,Bird,4062,2017-03-26 01:15:07.792395+00,1,11,209
1032,Bird,3089,2017-03-26 01:15:13.40258+00,1,11,288
1033,Mammal,4850,2017-03-26 01:15:21.343611+00,1,11,385
1034,Reptil,5865,2017-03-26 01:15:29.547122+00,1,11,254
1035,Reptil,3800,2017-03-26 01:15:35.801576+00,1,11,70
1036,Mammal,2939,2017-03-26 01:15:41.719786+00,1,11,244
1037,Bird,3831,2017-03-26 01:15:50.0323+00,1,11,416
1038,Mammal,5861,2017-03-26 01:15:58.386495+00,1,11,101
1039,Mammal,4568,2017-03-26 01:16:05.484416+00,1,11,259
1040,Mammal,2262,2017-03-26 01:16:10.543374+00,1,11,419
1041,Mammal,4042,2017-03-26 01:16:17.127462+00,1,11,551
1042,Mammal,2599,2017-03-26 01:16:22.176358+00,1,11,522
1043,Mammal,2999,2017-03-26 01:16:27.681719+00,1,11,476
1044,Mammal,3586,2017-03-26 01:16:34.079376+00,1,11,164
1045,Bird,2798,2017-03-26 01:16:39.462635+00,1,11,409
1046,Mammal,6256,2017-03-26 01:16:48.442108+00,1,11,205
1047,Mammal,3744,2017-03-26 01:16:55.242626+00,1,11,360
1048,Mammal,1620,2017-03-26 01:16:59.634528+00,1,11,525
1049,Mammal,2004,2017-03-26 01:17:04.181486+00,1,11,506
1050,Amphibian,2847,2017-03-26 01:17:10.482776+00,1,11,50
1051,Mammal,2108,2017-03-26 01:17:15.359175+00,1,11,523
1052,Amphibian,2914,2017-03-26 01:17:21.081328+00,1,11,115
1053,Bird,2265,2017-03-26 01:17:25.867486+00,1,11,299
1054,Mammal,5204,2017-03-26 01:17:35.095787+00,1,11,308
1055,Bird,2979,2017-03-26 01:17:41.453463+00,1,11,277
1056,Bird,2966,2017-03-26 01:17:47.092764+00,1,11,544
1057,Mammal,2500,2017-03-26 01:17:52.260245+00,1,11,278
1058,Mammal,2622,2017-03-26 01:17:57.718635+00,1,11,454
1059,Mammal,3903,2017-03-26 01:18:04.269476+00,1,11,388
1060,Mammal,2984,2017-03-26 01:18:10.427488+00,1,11,183
1061,Mammal,2491,2017-03-26 15:54:45.244965+00,1,19,147
1062,Mammal,2395,2017-03-26 15:55:51.799145+00,1,19,565
1063,Bird,2090,2017-03-26 15:56:27.771638+00,1,19,95
1064,Bird,2142,2017-03-26 15:57:11.76051+00,1,19,326
1065,Mammal,1832,2017-03-26 15:57:21.25592+00,1,19,123
1066,Mammal,1999,2017-03-26 15:57:28.770634+00,1,19,342
1067,Mammal,2471,2017-03-26 15:58:32.18591+00,1,19,88
1068,Mammal,2045,2017-03-26 15:59:00.45653+00,1,19,551
1069,Amphibian,2909,2017-03-26 15:59:13.524577+00,1,19,429
1070,Bird,2576,2017-03-26 15:59:54.315617+00,1,19,2
1071,Mammal,1819,2017-03-26 16:00:01.959103+00,1,19,483
1072,Bird,4114,2017-03-26 19:26:50.59342+00,1,10,550
